dep,arr,dep_country,arr_country,dep_continent,arr_continent,flights,cycles,block_h,median_block_h,gc_km,night_share,inferred_share,suspect_share,first_seen,last_seen,callsigns,aircraft,suggested,segment
YWG,YVR,CA,CA,NA,NA,35,35,98.98,2.81,1863.9,1.0,0.0,0.0,2025-04-02T07:52:49Z,2026-09-10T07:43:25Z,CJT567,17,domestic,domestic
YMX,YWG,CA,CA,NA,NA,32,32,91.83,2.85,1787.7,1.0,0.0,0.0,2025-04-02T03:55:42Z,2026-09-10T04:00:43Z,CJT567,15,domestic,domestic
YVR,YWG,CA,CA,NA,NA,35,35,90.33,2.58,1863.9,1.0,0.0,0.0,2025-04-02T02:41:47Z,2026-09-10T02:33:53Z,CJT1570 CJT570,13,domestic,domestic
YVR,SDF,CA,US,NA,NA,22,22,89.45,4.07,3211.0,0.955,0.0,0.0,2026-04-01T00:53:16Z,2026-09-10T01:03:29Z,CJT489 CJT499,8,?,charter
YMX,CVG,CA,US,NA,NA,40,40,85.79,2.14,1141.2,0.95,0.0,0.0,2025-04-02T02:56:02Z,2026-09-10T03:04:07Z,CJT1990 CJT990,23,?,charter
YHM,CVG,CA,US,NA,NA,63,63,85.11,1.33,606.2,0.889,0.0,0.0,2025-04-02T03:50:22Z,2026-09-10T08:14:39Z,CJT1905 CJT1906 CJT1943 CJT2000 CJT2002,27,?,charter
YVR,YYC,CA,CA,NA,NA,65,65,82.37,1.26,687.2,0.954,0.0,0.0,2025-04-02T07:35:45Z,2026-09-10T07:35:14Z,CJT1925 CJT2382 CJT2389 CJT550 CJT580,10,domestic,domestic
YWG,YEG,CA,CA,NA,NA,42,42,81.09,1.92,1186.8,1.0,0.0,0.0,2025-04-02T08:39:09Z,2026-09-10T08:50:42Z,573 CJT555 CJT573,20,domestic,domestic
YEG,YWG,CA,CA,NA,NA,42,42,75.91,1.8,1186.8,1.0,0.0,0.0,2025-04-02T03:30:55Z,2026-09-10T03:33:49Z,CJT554 CJT573 CJT574,20,domestic,domestic
MCO,CVG,US,US,NA,NA,37,37,75.13,2.02,1220.7,1.0,0.0,0.0,2025-04-02T04:15:14Z,2026-09-03T03:49:10Z,CSB926,3,?,charter
YHM,YQM,CA,CA,NA,NA,39,39,74.51,1.85,1248.0,0.974,0.0,0.051,2025-04-02T05:06:15Z,2026-08-21T05:09:53Z,CFCJF CJT620 CJT622 CJT626,17,domestic,domestic
CVG,MCO,US,US,NA,NA,40,40,74.19,1.84,1220.7,0.225,0.0,0.0,2025-04-02T10:54:14Z,2026-09-10T11:12:32Z,CJT916 CSB925,3,?,charter
CVG,YHM,US,CA,NA,NA,63,63,70.34,1.11,606.2,0.556,0.0,0.016,2025-04-02T11:03:44Z,2026-09-10T11:15:31Z,CJT1906 CJT2001 CJT2022 CJT2038 CJT9002,27,?,charter
CVG,YMX,US,CA,NA,NA,41,41,69.62,1.7,1141.2,0.927,0.0,0.0,2025-04-02T10:06:02Z,2026-09-10T10:32:53Z,00000000 CJT991,22,?,charter
YMX,YHM,CA,CA,NA,NA,52,52,65.15,1.25,544.4,0.942,0.0,0.019,2025-04-02T03:26:36Z,2026-09-10T03:57:40Z,575 CJT1912 CJT3184 CJT555 CJT566,27,domestic,domestic
YWG,YXE,CA,CA,NA,NA,30,30,64.12,2.35,707.0,1.0,0.0,0.6,2025-07-15T08:43:28Z,2026-09-10T08:56:05Z,00000000 CJT454 CJT566 CJT591 CJT593,12,domestic,domestic
YHM,SDF,CA,US,NA,NA,42,42,63.21,1.5,740.5,1.0,0.0,0.0,2026-04-01T01:33:55Z,2026-09-10T02:31:57Z,CFACJ CJT475 CJT483 CJT583 CJT584,14,?,charter
YYZ,SDF,CA,US,NA,NA,37,37,58.43,1.57,798.2,0.514,0.0,0.0,2026-04-01T03:07:06Z,2026-09-10T12:08:11Z,CFACJ CJT485 CJT486 CJT487 CJT499,13,?,charter
SDF,YHM,US,CA,NA,NA,42,42,57.48,1.36,740.5,1.0,0.0,0.0,2026-04-01T07:10:27Z,2026-09-10T08:46:18Z,00000000 CJT476 CJT482 CJT582,12,?,charter
YOW,YOW,CA,CA,NA,NA,23,45,56.46,2.52,0.0,0.174,0.0,0.0,2025-04-02T14:57:45Z,2026-08-23T12:57:33Z,CJT1574 CJT470 CJT5470,13,domestic,domestic
SDF,YYZ,US,CA,NA,NA,37,37,55.14,1.47,798.2,0.973,0.0,0.0,2026-04-01T07:11:14Z,2026-09-10T08:29:24Z,CFACJ CJT486 CJT488,12,?,charter
SJU,MIA,PR,US,NA,NA,12,12,54.59,4.65,1682.1,0.5,0.0,0.5,2026-04-01T06:46:58Z,2026-09-10T15:23:30Z,CJT244 CSB234,1,acmi,acmi
YXE,YWG,CA,CA,NA,NA,28,28,54.21,2.03,707.0,1.0,0.0,0.071,2025-07-15T02:02:22Z,2026-09-10T02:11:00Z,CJT566 CJT590 CJT592,14,domestic,domestic
