"Date","Price","Open","High","Low","Vol.","Change %"
"01/15/2026","92.95","91.42","94.25","91.17","146.33K","2.54%"
"01/14/2026","90.65","88.73","91.15","88.66","80.99K","2.33%"
"01/13/2026","88.59","90.16","90.16","88.11","64.29K","-1.62%"
"01/12/2026","90.05","89.76","91.57","89.29","64.95K","-0.39%"
"01/09/2026","90.40","91.48","92.59","88.33","209.84K","-1.17%"
"01/08/2026","91.47","85.00","91.67","85.00","198.28K","7.49%"
"01/07/2026","85.10","86.70","86.78","85.10","60.90K","-1.82%"
"01/06/2026","86.68","85.46","87.04","85.07","78.13K","2.12%"
"01/05/2026","84.88","86.11","86.92","84.75","75.43K","-1.10%"
"01/02/2026","85.82","83.89","85.97","83.81","83.51K","2.24%"
"12/31/2025","83.94","83.95","84.79","83.79","51.06K","0.29%"
"12/30/2025","83.70","84.61","85.10","83.67","107.86K","-1.32%"
"12/29/2025","84.82","85.00","86.00","84.53","97.39K","-0.62%"
"12/24/2025","85.35","83.67","85.60","83.67","47.72K","1.61%"
"12/23/2025","84.00","83.30","84.52","83.30","83.70K","0.79%"
"12/22/2025","83.34","84.00","84.99","82.51","97.41K","-0.48%"
"12/19/2025","83.74","81.60","84.07","81.51","199.23K","2.79%"
"12/18/2025","81.47","80.32","81.88","79.25","129.63K","1.48%"
"12/17/2025","80.28","75.58","81.78","75.50","385.75K","6.26%"
"12/16/2025","75.55","75.62","75.72","74.87","147.31K","-0.03%"
"12/15/2025","75.57","75.78","76.50","74.96","168.78K","-0.22%"
"12/12/2025","75.74","76.75","77.70","75.50","131.07K","-1.25%"
"12/11/2025","76.70","77.75","78.00","76.60","127.84K","-1.65%"
"12/10/2025","77.99","79.15","79.28","77.53","111.52K","-0.97%"
"12/09/2025","78.75","80.40","80.98","78.56","106.36K","-1.87%"
"12/08/2025","80.25","80.56","81.10","79.97","67.55K","0.05%"
"12/05/2025","80.21","80.24","80.48","79.49","56.41K","0.38%"
"12/04/2025","79.91","81.16","81.50","79.15","85.20K","-1.15%"
"12/03/2025","80.84","80.51","81.30","80.36","63.14K","0.51%"
"12/02/2025","80.43","79.61","80.79","78.78","87.32K","1.25%"
"12/01/2025","79.44","80.50","80.88","78.75","130.29K","-2.16%"
"11/28/2025","81.19","81.28","82.05","80.88","66.30K","0.14%"
"11/27/2025","81.08","80.10","81.30","79.32","42.83K","1.72%"
"11/26/2025","79.71","79.30","80.47","78.75","99.75K","0.66%"
"11/25/2025","79.19","76.77","79.63","76.64","151.99K","3.61%"
"11/24/2025","76.43","76.01","76.66","74.75","143.65K","0.72%"
"11/21/2025","75.88","73.10","76.11","72.32","208.18K","4.45%"
"11/20/2025","72.65","71.99","74.83","71.66","196.55K","1.11%"
"11/19/2025","71.85","72.42","72.96","71.07","87.63K","-0.42%"
"11/18/2025","72.15","73.00","73.00","71.00","362.90K","-1.74%"
"11/17/2025","73.43","72.90","75.28","72.64","182.42K","0.88%"
"11/14/2025","72.79","71.90","73.35","71.90","136.02K","0.41%"
"11/13/2025","72.49","72.17","73.11","71.96","147.58K","0.36%"
"11/12/2025","72.23","69.05","72.61","69.05","227.14K","4.97%"
"11/11/2025","68.81","68.55","68.88","67.31","211.41K","0.16%"
"11/10/2025","68.70","70.00","71.16","67.80","270.96K","-0.91%"
"11/07/2025","69.33","67.72","69.51","65.60","402.96K","2.57%"
"11/06/2025","67.59","69.10","71.38","67.50","432.50K","-2.27%"
"11/05/2025","69.16","78.75","78.78","67.84","737.04K","-13.89%"
"11/04/2025","80.32","81.35","81.35","79.90","113.27K","-1.12%"
"11/03/2025","81.23","82.00","82.35","80.61","157.38K","-0.62%"
"10/31/2025","81.74","80.94","82.70","80.94","87.51K","1.03%"
"10/30/2025","80.91","81.91","82.06","80.71","106.81K","-0.25%"
"10/29/2025","81.11","83.28","83.50","80.75","110.94K","-2.59%"
"10/28/2025","83.27","83.06","84.75","82.84","80.82K","-0.48%"
"10/27/2025","83.67","82.83","84.40","82.81","119.19K","1.48%"
"10/24/2025","82.45","82.31","83.34","81.57","109.98K","0.99%"
"10/23/2025","81.64","81.69","82.62","81.07","66.36K","0.79%"
"10/22/2025","81.00","81.25","82.18","80.65","113.46K","-0.74%"
"10/21/2025","81.60","81.80","82.35","81.01","53.34K","-0.05%"
"10/20/2025","81.64","82.16","83.31","80.96","90.04K","0.16%"
"10/17/2025","81.51","82.20","82.50","81.03","99.45K","-0.85%"
"10/16/2025","82.21","83.78","84.36","82.18","164.53K","-2.11%"
"10/15/2025","83.98","84.67","84.71","83.66","111.40K","0.38%"
"10/14/2025","83.66","84.11","84.46","83.18","198.95K","0.18%"
"10/10/2025","83.51","88.07","88.63","83.11","208.33K","-4.54%"
"10/09/2025","87.48","89.96","89.99","87.08","107.92K","-2.15%"
"10/08/2025","89.40","89.92","90.34","88.81","78.49K","-0.62%"
"10/07/2025","89.96","93.00","93.00","89.41","182.17K","-3.21%"
"10/06/2025","92.94","94.01","94.08","92.45","82.28K","-0.55%"
"10/03/2025","93.45","93.09","94.42","92.15","205.20K","0.70%"
"10/02/2025","92.80","94.51","94.51","92.45","54.31K","-1.28%"
"10/01/2025","94.00","91.96","94.31","91.57","81.20K","2.17%"
"09/30/2025","92.00","93.30","93.30","90.88","147.83K","-1.57%"
"09/29/2025","93.47","93.37","94.60","93.29","59.86K","0.94%"
"09/26/2025","92.60","96.32","96.52","92.25","127.72K","-3.76%"
"09/25/2025","96.22","97.18","97.29","95.30","87.14K","-1.49%"
"09/24/2025","97.68","96.34","98.36","96.34","71.70K","2.17%"
